type_carburant,qte_carburant,id_station_id
SP95,5234.50,node/566723864
SP98,4876.30,node/566723864
GAZOLE,11234.80,node/618513490
E10,3456.20,node/618513490
E85,1234.50,node/1067978651
GPLc,876.90,node/1067978651
SP95-E10,4567.80,node/1083653910
SP98-E5,4987.60,node/1083653910
B7,8234.40,node/1083653913
B10,7654.30,node/1083653913
SP95,5345.20,node/1083653916
SP98,4765.80,node/1083653916
GAZOLE,10876.50,node/1085474155
E10,3567.90,node/1085474155
E85,1345.60,node/1086034868
GPLc,987.50,node/1086034868
SP95-E10,4678.90,node/1118738339
SP98-E5,4876.50,node/1118738339
B7,8456.70,node/1805336245
B10,7890.40,node/1805336245
SP95,5123.40,node/1083653910
SP98,4987.60,node/1083653910
GAZOLE,11567.80,node/1083653910
E10,3678.90,node/1083653910
E85,1456.70,node/1083653910
GPLc,908.70,node/1083653910
SP95-E10,4789.60,node/1083653910
SP98-E5,5098.70,node/1083653910
B7,8567.80,node/1083653910
B10,7987.60,node/1083653910
SP95,5432.10,node/1083653913
SP98,5123.40,node/1083653913
GAZOLE,11890.50,node/1083653913
E10,3789.60,node/1083653913
E85,1567.80,node/1083653913
GPLc,934.50,node/1083653913
SP95-E10,4890.70,node/1083653913
SP98-E5,5198.60,node/1083653913
B7,8678.90,node/1083653913
B10,8098.70,node/1083653913
